date,price
2024-06-19,283.9
2024-06-20,289.15000000000003
2024-06-21,284.25
2024-06-24,299.4
2024-06-25,290.4
2024-06-26,284
2024-06-27,286.5
2024-06-28,287.45
2024-07-01,276.3
2024-07-02,277.05
2024-07-03,274.1
2024-07-04,276.55
2024-07-05,279.05
2024-07-08,286
2024-07-09,303.45
2024-07-10,297.2
2024-07-11,299.3
2024-07-12,302.7
2024-07-15,296.65000000000003
2024-07-16,299.65000000000003
2024-07-17,298.05
2024-07-18,296.85
2024-07-19,293
2024-07-22,299.6
2024-07-23,295.7
2024-07-24,288.7
2024-07-25,293.45
2024-07-26,288.05
2024-07-29,288.25
2024-07-30,288.65000000000003
2024-07-31,286.9
2024-08-01,285.25
2024-08-02,289.2
2024-08-05,284.9
2024-08-06,295.35
2024-08-07,301.5
2024-08-08,299.3
2024-08-09,290.7
2024-08-12,300.8
2024-08-13,290.4
2024-08-14,296.35
2024-08-15,299
2024-08-16,303.4
2024-08-19,301.7
2024-08-20,303.9
2024-08-21,304.5
2024-08-22,297.8
2024-08-23,302
2024-08-26,303.2
2024-08-27,313.4
2024-08-28,314.8
2024-08-29,303.35
2024-08-30,298.6
2024-09-02,292.5
2024-09-03,295.1
2024-09-04,296.15000000000003
2024-09-05,296
2024-09-06,289.1
2024-09-09,298.3
2024-09-10,298.05
2024-09-11,298.55
2024-09-12,300.35
2024-09-13,307.2
2024-09-16,306.3
2024-09-17,313.25
2024-09-18,312.1
2024-09-19,311.15000000000003
2024-09-20,303.8
2024-09-23,313.95
2024-09-24,317.7
2024-09-25,319.05
2024-09-26,324.05
2024-09-27,321.05
2024-09-30,321.8
2024-10-01,316.7
2024-10-02,311.1
2024-10-03,305.8
2024-10-04,311
2024-10-07,298.85
2024-10-08,300.45
2024-10-09,301
2024-10-10,306.25
2024-10-11,303.25
2024-10-14,312.65000000000003
2024-10-15,309.4
2024-10-16,308.3
2024-10-17,304.65000000000003
2024-10-18,307.1
2024-10-21,301.05
2024-10-22,300.35
2024-10-23,303.65000000000003
2024-10-24,298.2
2024-10-25,300.75
2024-10-28,304.5
2024-10-29,301.55
2024-10-30,302.4
2024-10-31,298.7
2024-11-01,296.55
2024-11-04,299.1
2024-11-05,304.25
2024-11-06,303.85
2024-11-07,317.05
2024-11-08,310.7
2024-11-11,315.25
2024-11-12,325.65000000000003
2024-11-13,337.85
2024-11-14,359.4
2024-11-18,361.65000000000003
2024-11-19,359.45
2024-11-21,371.15000000000003
2024-11-22,380.9
2024-11-25,385.9
2024-11-26,390.95
2024-11-27,403.9
2024-11-28,403.9
2024-11-29,397.95
2024-12-02,369.75
2024-12-03,370.25
2024-12-04,383.4
2024-12-05,393.8
2024-12-06,409.3
2024-12-09,411.4
2024-12-10,417.8
2024-12-11,406.5
2024-12-12,408.55
2024-12-13,407.8
2024-12-16,414.85
2024-12-17,412.05
2024-12-18,419.2
2024-12-19,405.7
2024-12-20,407.7
2024-12-23,408.6
2024-12-26,404.4
2024-12-27,404.45
2024-12-30,401.3
2025-01-02,409
2025-01-03,401.65000000000003
2025-01-06,399.65000000000003
2025-01-07,401.85
2025-01-08,397.3
2025-01-09,397.5
2025-01-10,403.65000000000003
2025-01-13,407.5
2025-01-14,403.9
2025-01-15,409.6
2025-01-16,405.6
2025-01-17,405.5
2025-01-20,407.85
2025-01-21,405.75
2025-01-22,417.9
2025-01-23,424.2
2025-01-24,428.2
2025-01-27,432
2025-01-28,437.75
2025-01-29,449.55
2025-01-30,457.6
2025-01-31,462.25
2025-02-03,466.15000000000003
2025-02-04,471.8
2025-02-05,485.35
2025-02-06,495.2
2025-02-07,497.6
2025-02-10,522.5
2025-02-11,510.2
2025-02-12,521.55
2025-02-13,529.2
2025-02-14,503.9
2025-02-17,506
2025-02-18,501.6
2025-02-19,510.8
2025-02-20,490
2025-02-21,487.9
2025-02-24,481.05
2025-02-25,465.85
2025-02-26,464.45
2025-02-27,463.5
2025-02-28,461.25
2025-03-05,510.7
2025-03-06,480.55
2025-03-07,475.35
2025-03-10,476.6
2025-03-11,484.9
2025-03-12,480.1
2025-03-13,480.15000000000003
2025-03-14,470.6
2025-03-17,477.25
2025-03-18,475.7
2025-03-19,486.5
2025-03-20,493.95
2025-03-21,491.35
2025-03-24,496.35
2025-03-25,503.65000000000003
2025-03-26,496.7
2025-03-27,483.1
2025-03-28,485.6
2025-03-31,483.8
2025-04-01,494.45
2025-04-02,503.55
2025-04-03,504.35
2025-04-04,490
2025-04-07,487.15000000000003
2025-04-08,475.85
2025-04-09,474.25
2025-04-10,464.4
2025-04-11,472.45
2025-04-14,476.55
2025-04-15,479.75
2025-04-16,480.6
2025-04-17,481.25
2025-04-22,483.8
2025-04-23,498.4
2025-04-24,512.6
2025-04-25,518.3
2025-04-28,530.6
2025-04-29,516.65
2025-04-30,517.9
2025-05-02,485.4
2025-05-05,489.15000000000003
2025-05-06,491.25
2025-05-07,483.65000000000003
2025-05-08,487.95
2025-05-09,488.5
2025-05-12,468.9
2025-05-13,473.4
2025-05-14,458.1
2025-05-15,471.6
2025-05-16,459.25
2025-05-19,471.2
2025-05-20,464.05
2025-05-21,465.35
2025-05-22,452.7
2025-05-23,453.05
2025-05-26,453.05
2025-05-27,454
2025-05-28,441.1
2025-05-29,436.4
2025-05-30,428.55
2025-06-02,431.2
2025-06-03,426.45
2025-06-04,433.45
2025-06-05,451.45
2025-06-06,449.2
2025-06-09,453.85
2025-06-10,445.25
2025-06-11,439.45
2025-06-12,435.7
2025-06-13,438.2
2025-06-16,430.6
2025-06-17,419.9
2025-06-18,405.4
2025-06-20,397.65000000000003
2025-06-23,412.55
2025-06-24,392.75
2025-06-25,383.9
2025-06-26,385
2025-06-27,385.55
2025-06-30,381.4
2025-07-01,358.6
2025-07-02,355.4
2025-07-03,354.95
2025-07-04,351.7
2025-07-07,343
2025-07-08,350.5
2025-07-09,348.65000000000003
2025-07-10,351.9
2025-07-11,352.3
2025-07-14,369.45
2025-07-15,365.15000000000003
2025-07-16,378.2
2025-07-17,375.7
2025-07-18,373.1
2025-07-21,358.6
2025-07-22,360.85
2025-07-23,367.85
2025-07-24,372.85
2025-07-25,366.65000000000003
2025-07-28,372.8
2025-07-29,369.3
2025-07-30,367.8
2025-07-31,370.15000000000003
2025-08-01,357.25
2025-08-04,362
2025-08-05,372.9
2025-08-06,368.15000000000003
2025-08-07,374.05
2025-08-08,387.25
2025-08-11,406.5
2025-08-12,401.6
2025-08-13,407.9
2025-08-14,415.75
2025-08-15,433.4
2025-08-18,439.05
2025-08-19,451.05
2025-08-20,459.1
2025-08-21,471.45
2025-08-22,488.45
2025-08-25,487.5
2025-08-26,476.5
2025-08-27,489.4
2025-08-28,481.4
2025-08-29,493.45
2025-09-01,470.15000000000003
2025-09-02,458.35
2025-09-03,462.3
2025-09-04,461
2025-09-05,459.95
2025-09-08,468.95
2025-09-09,469.05
2025-09-10,472.15000000000003
2025-09-11,472.45
2025-09-12,484.75
2025-09-15,505.4
2025-09-16,493.45
2025-09-17,454.25
2025-09-18,459.6
2025-09-19,437.8
2025-09-22,439.1
2025-09-23,423.85
2025-09-24,439.55
2025-09-25,442.9
2025-09-26,450.95
2025-09-29,449.75
2025-09-30,450.7
2025-10-01,460
2025-10-02,453.85
2025-10-03,466.95
2025-10-06,455.6
2025-10-07,450.25
2025-10-08,461.35
2025-10-09,454.4
2025-10-10,449.55
2025-10-13,461.4
2025-10-14,477.8
2025-10-15,471.7
2025-10-16,472.4
2025-10-17,476.75
2025-10-20,482.9
2025-10-21,491.45
2025-10-22,500.25
2025-10-23,491.45
2025-10-24,480
2025-10-27,468
2025-10-28,470.95
2025-10-29,471.7
2025-10-30,476.9
2025-10-31,475.2
